Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Situation;PlacesEnum;atHighAltitudes;At high altitudes;At high altitudes.;;
Situation;PlacesEnum;atRestAreas;At rest areas;At rest areas;;
Situation;PlacesEnum;atServiceAreas;At service areas;At service areas;;
Situation;PlacesEnum;atTollPlazas;At toll plazas;At toll plazas.;;
Situation;PlacesEnum;inBuiltUpAreas;In built up areas;In built up areas, i.e. villages, towns and cities.;;
Situation;PlacesEnum;inContraflowSections;In contraflow sections;In sections of the road where contraflow is in operation.;;
Situation;PlacesEnum;inForestedAreas;In forested areas;On sections of the road where it runs through or adjacent to forested areas.;;
Situation;PlacesEnum;inGalleries;In galleries;In galleries.;;
Situation;PlacesEnum;inLowLyingAreas;In low lying areas;In low lying areas.;;
Situation;PlacesEnum;inRoadworksAreas;In roadworks areas;In roadworks areas.;;
Situation;PlacesEnum;inRuralAreas;In rural areas;In rural areas, i.e. outside villages, towns and cities.;;
Situation;PlacesEnum;inShadedAreas;In shaded areas;In shaded areas.;;
Situation;PlacesEnum;inTheCityCentre;In the city centre;In the city centre.;;
Situation;PlacesEnum;inTheInnerCityAreas;In the inner city areas;In the inner city areas.;;
Situation;PlacesEnum;inTunnels;In tunnels;In tunnels.;;
Situation;PlacesEnum;onBridges;On bridges;On bridges.;;
Situation;PlacesEnum;onDownHillSections;On down hill sections;On down hill sections of the road.;;
Situation;PlacesEnum;onDualCarriagewaySections;On dual carriageway sections;On dual carriageway sections of the road.;;
Situation;PlacesEnum;onElevatedSections;On elevated sections;On elevated sections of the road.;;
Situation;PlacesEnum;onEnteringOrLeavingTunnels;On entering or leaving tunnels;On entering or leaving tunnels.;;
Situation;PlacesEnum;onEnteringTheCountry;On entering the country;On entry into the country.;;
Situation;PlacesEnum;onFlyovers;On flyovers;On flyover sections of the road, i.e. sections of the road which pass over another road.;;
Situation;PlacesEnum;onLeavingTheCountry;On leaving the country;On leaving the country.;;
Situation;PlacesEnum;onMotorways;On motorways;On motorways.;;
Situation;PlacesEnum;onNonMotorways;On non motorways;On non motorways.;;
Situation;PlacesEnum;onPasses;On passes;On mountain passes.;;
Situation;PlacesEnum;onRoundabouts;On roundabouts;On roundabouts.;;
Situation;PlacesEnum;onSingleCarriagewaySections;On single carriageway sections;On single carriageway sections of the road.;;
Situation;PlacesEnum;onSlipRoads;On slip roads;On slip roads.;;
Situation;PlacesEnum;onUndergroundSections;On underground sections;On underground sections of the road.;;
Situation;PlacesEnum;onUnderpasses;On underpasses;On underpasses, i.e. sections of the road which pass under another road.;;
Situation;PlacesEnum;onUpHillSections;On up hill sections;On hill sections of the road.;;
Situation;PlacesEnum;other;Other;Other than as defined in this enumeration.;;
Situation;PlacesEnum;overTheCrestOfHills;Over the crest of hills;Over the crest of hills.;;
Common;PollutantTypeEnum;benzeneTolueneXylene;Benzene toluene xylene;Benzene, toluene or xylene.;;
Common;PollutantTypeEnum;carbonMonoxide;Carbon monoxide;Carbon monoxide.;;
Common;PollutantTypeEnum;lead;Lead;Lead.;;
Common;PollutantTypeEnum;methane;Methane;Methane.;;
Common;PollutantTypeEnum;nitricOxide;Nitric oxide;Nitric oxide.;;
Common;PollutantTypeEnum;nitrogenDioxide;Nitrogen dioxide;Nitrogen dioxide.;;
Common;PollutantTypeEnum;nitrogenMonoxide;Nitrogen monoxide;Nitrogen monoxide.;;
Common;PollutantTypeEnum;nitrogenOxides;Nitrogen oxides;Nitrogen oxides.;;
Common;PollutantTypeEnum;nonMethaneHydrocarbons;Non methane hydrocarbons;Non-methane hydrocarbons.;;
Common;PollutantTypeEnum;ozone;Ozone;Ozone.;;
Common;PollutantTypeEnum;particulates10;Particulates 10;Particulate matter which passes through a size-selective inlet with a 50% cut-off efficiency at an aerodynamic diameter of 10 µm (micrometres).;;
Common;PollutantTypeEnum;polycyclicAromaticHydrocarbons;Polycyclic aromatic hydrocarbons;Polycyclic aromatic hydrocarbons.;;
Common;PollutantTypeEnum;primaryParticulate;Primary particulate;Primary particulate particles.;;
Common;PollutantTypeEnum;sulphurDioxide;Sulphur dioxide;Sulphur dioxide.;;
Common;PollutantTypeEnum;totalHydrocarbons;Total hydrocarbons;Total hydrocarbons, i.e. including methane and non-methane.;;
Situation;PoorEnvironmentTypeEnum;badWeather;Bad weather;Adverse weather conditions are affecting driving conditions.;;
Situation;PoorEnvironmentTypeEnum;blizzard;Blizzard;Heavy snowfall in combination with strong winds, limiting visibility to 50m or less.;;
Situation;PoorEnvironmentTypeEnum;blowingDust;Blowing dust;Dust blowing across the roadway causing significantly reduced visibility.;;
Situation;PoorEnvironmentTypeEnum;blowingSnow;Blowing snow;Fallen snow moving due to the forces of wind.;;
Situation;PoorEnvironmentTypeEnum;crosswinds;Crosswinds;Strong cross winds across the direction of the roadway (e.g. on a ridge or bridge).;;
Situation;PoorEnvironmentTypeEnum;damagingHail;Damaging hail;Large falling ice pellets or frozen rain capable of causing injury or damage to property.;;
Situation;PoorEnvironmentTypeEnum;denseFog;Dense fog;Dense fog, limiting visibility to 50m or less.;;
Situation;PoorEnvironmentTypeEnum;eclipse;Eclipse;Eclipse, either partial or full, of the sun causing low light levels during normal daylight period.;;
Situation;PoorEnvironmentTypeEnum;extremeCold;Extreme cold;Abnormally low temperatures.;;
Situation;PoorEnvironmentTypeEnum;extremeHeat;Extreme heat;Abnormally high expected maximum temperature.;;
Situation;PoorEnvironmentTypeEnum;fog;Fog;Fog, visibility more than 50m.;;
Situation;PoorEnvironmentTypeEnum;freezingFog;Freezing fog;Fog, in conjunction with sub-zero air temperatures causing possible freezing of road surface.;;
Situation;PoorEnvironmentTypeEnum;frost;Frost;Frost can be expected.;;
Situation;PoorEnvironmentTypeEnum;gales;Gales;Winds between 60 km/h and 90 km/h.;;
Situation;PoorEnvironmentTypeEnum;gustyWinds;Gusty winds;Constantly varying winds, significant at times.;;
Situation;PoorEnvironmentTypeEnum;hail;Hail;Falling ice pellets or frozen rain.;;
Situation;PoorEnvironmentTypeEnum;heavyFrost;Heavy frost;A thick coating of frost can be expected.;;
Situation;PoorEnvironmentTypeEnum;heavyRain;Heavy rain;Heavy rainfall, limiting visibility to 50m or less.;;
Situation;PoorEnvironmentTypeEnum;heavySnowfall;Heavy snowfall;Dense falling snow, limiting visibility to 50m or less.;;
Situation;PoorEnvironmentTypeEnum;hurricaneForceWinds;Hurricane force winds;Winds over 120 km/h.;;
Situation;PoorEnvironmentTypeEnum;lowSunGlare;Low sun glare;Difficult visibility conditions created by low elevation sunlight.;;
Situation;PoorEnvironmentTypeEnum;moderateFog;Moderate fog;Misty conditions impairing vision over 100m.;;
Situation;PoorEnvironmentTypeEnum;nearbyFire;Nearby fire;Fire near the road affecting driving conditions and/or significantly reduced visibility;;
Situation;PoorEnvironmentTypeEnum;nearbyFlooding;Nearby flooding;Flooding near the road risking to affect driving conditions;;
Situation;PoorEnvironmentTypeEnum;ozonePollution;Ozone pollution;High concentrations of ozone are present.;;
Situation;PoorEnvironmentTypeEnum;patchyFog;Patchy fog;Fog, in which intermittent areas of dense fog may be encountered.;;
Situation;PoorEnvironmentTypeEnum;pollution;Pollution;Pollution of an unspecified nature.;;
Situation;PoorEnvironmentTypeEnum;precipitationInTheArea;Precipitation in the area;Unspecified precipitation is falling on the area.;;
Situation;PoorEnvironmentTypeEnum;rain;Rain;Rain, visibility more than 50m.;;
Situation;PoorEnvironmentTypeEnum;rainChangingToSnow;Rain changing to snow;Falling rain is changing to snow.;;
Situation;PoorEnvironmentTypeEnum;sandStorms;Sand storms;Sand blowing across the roadway causing significantly reduced visibility.;;
Situation;PoorEnvironmentTypeEnum;severeExhaustPollution;Severe exhaust pollution;Pollution from exhaust fumes has reached a level sufficient to cause concern.;;
Situation;PoorEnvironmentTypeEnum;severeSmog;Severe smog;Environmental warning of very poor air quality resulting from smog.;;
Situation;PoorEnvironmentTypeEnum;showers;Showers;Light rain or intermittent rain.;;
Situation;PoorEnvironmentTypeEnum;sleet;Sleet;Rain mingled with snow or hail.;;
Situation;PoorEnvironmentTypeEnum;smogAlert;Smog alert;Environmental warning of poor air quality resulting from smog.;;
Situation;PoorEnvironmentTypeEnum;smokeHazard;Smoke hazard;Smoke drifting across the roadway causing significantly reduced visibility.;;
Situation;PoorEnvironmentTypeEnum;snowChangingToRain;Snow changing to rain;Falling snow is changing to rain.;;
Situation;PoorEnvironmentTypeEnum;snowfall;Snowfall;Falling snow, visibility more than 50m.;;
Situation;PoorEnvironmentTypeEnum;sprayHazard;Spray hazard;Reduced visibility resulting from spray created by moving vehicles on a wet roadway.;;
Situation;PoorEnvironmentTypeEnum;stormForceWinds;Storm force winds;Winds between 90 km/h and 120 km/h.;;
Situation;PoorEnvironmentTypeEnum;strongGustsOfWind;Strong gusts of wind;Constantly varying winds, strong at times.;;
Situation;PoorEnvironmentTypeEnum;strongWinds;Strong winds;Winds between 40 km/h and 60 km/h.;;
Situation;PoorEnvironmentTypeEnum;swarmsOfInsects;Swarms of insects;Large numbers of insects which create a hazard for road users through reduced visibility.;;
Situation;PoorEnvironmentTypeEnum;temperatureFalling;Temperature falling;The temperature is falling significantly.;;
Situation;PoorEnvironmentTypeEnum;thunderstorms;Thunderstorms;Electrical storms, generally with heavy rain.;;
Situation;PoorEnvironmentTypeEnum;tornadoes;Tornadoes;Very violent, whirling windstorms affecting narrow strips of country.;;
Situation;PoorEnvironmentTypeEnum;veryStrongGustsOfWind;Very strong gusts of wind;Constantly varying winds, very strong at times.;;
Situation;PoorEnvironmentTypeEnum;visibilityReduced;Visibility reduced;Environmental conditions causing reduced visibility.;;
Situation;PoorEnvironmentTypeEnum;whiteOut;White out;Falling snow in blizzard conditions resulting in very reduced visibility.;;
Situation;PoorEnvironmentTypeEnum;winterStorm;Winter storm;Heavy rain, sleet, hail and/or snow in combination with strong winds, limiting visibility to 50m or less.;;
LocationReferencing;PositionConfidenceCodedErrorEnum;outOfRange;Out of range;Indicates the accuracy is out of range, i.e. greater than 4 093 cm for horizontal position.;;
LocationReferencing;PositionConfidenceCodedErrorEnum;unavailable;Unavailable;Indicates the accuracy information is unavailable.;;
Vms;PositionXAbsoluteEnum;inTheMiddle;In the middle;In the middle of the assigned space.;;
Vms;PositionXAbsoluteEnum;onLeft;On left;On the left of the assigned space.;;
Vms;PositionXAbsoluteEnum;onRight;On right;On the right of the assigned space.;;
Vms;PositionXRelativeEnum;alignedOnTheLeftSide;Aligned on the left side;The left side of the area is aligned on the left side of the relative area.;;
Vms;PositionXRelativeEnum;alignedOnTheRightSide;Aligned on the right side;The right side of the area is aligned on the right side of the relative area.;;
Vms;PositionXRelativeEnum;centred;Centred;The area is vertically centred on the relative area.;;
Vms;PositionXRelativeEnum;toTheLeft;To the left;Positioned to the left of relative item.;;
Vms;PositionXRelativeEnum;toTheRight;To the right;Positioned to the right of relative item.;;
Vms;PositionYAbsoluteEnum;atBottom;At bottom;At the bottom of the assigned space.;;
Vms;PositionYAbsoluteEnum;atTop;At top;At the top of the assigned space.;;
Vms;PositionYAbsoluteEnum;inTheMiddle;In the middle;In the middle of the assigned space.;;
Vms;PositionYRelativeEnum;above;Above;Positioned above relative item.;;
Vms;PositionYRelativeEnum;alignedOnTheBottomSide;Aligned on the bottom side;The bottom side of the area is aligned on the bottom side of the relative area.;;
Vms;PositionYRelativeEnum;alignedOnTheTopSide;Aligned on the top side;The top side of the area is aligned on the top side of the relative area.;;
Vms;PositionYRelativeEnum;below;Below;Positioned below relative item.;;
Vms;PositionYRelativeEnum;centred;Centred;The area is horizontally centred on the relative area.;;
Common;PrecipitationIntensityEnum;heavy;Heavy;Heavy precipitation.;;
Common;PrecipitationIntensityEnum;light;Light;Light precipitation.;;
Common;PrecipitationIntensityEnum;moderate;Moderate;Moderate precipitation.;;
Common;PrecipitationIntensityEnum;noPhenomena;No phenomena;No precipitation phenomena.;;
Common;PrecipitationIntensityEnum;severe;Severe;#;;
Common;PrecipitationIntensityEnum;violent;Violent;Violent precipitation.;;
Common;PrecipitationTypeEnum;clearIce;Clear ice;Clear ice.;;
Common;PrecipitationTypeEnum;dew;Dew;Dew.;;
Common;PrecipitationTypeEnum;diamondDust;Diamond dust;Diamond dust.;;
Common;PrecipitationTypeEnum;drizzle;Drizzle;Light, fine rain.;;
Common;PrecipitationTypeEnum;freezingRain;Freezing rain;Freezing rain.;;
Common;PrecipitationTypeEnum;glaze;Glaze;Glaze.;;
Common;PrecipitationTypeEnum;hail;Hail;Small balls of ice and compacted snow.;;
Common;PrecipitationTypeEnum;hardRime;Hard rime;Hard rime.;;
Common;PrecipitationTypeEnum;hoarFrost;Hoar frost;Hoar frost.;;
Common;PrecipitationTypeEnum;iceCrystals;Ice crystals;Ice crystals.;;
Common;PrecipitationTypeEnum;icePellets;Ice pellets;Ice pellets.;;
Common;PrecipitationTypeEnum;liquidFreezing;Liquid freezing;Liquid, freezing precipitation.;;
Common;PrecipitationTypeEnum;liquidNotFreezing;Liquid not freezing;Liquid precipitation but not freezing.;;
